ID,NAME,SCL_LVL,SCL_TP,BRD_NAME,SCL_TP_DSC,ADD_FULL,POSTAL_CD,MUN,LATITUDE,LONGITUDE
303,DUKE OF CONNAUGHT JUNIOR and SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,70 Woodfield Rd,M4L 2W6,Toronto and East York,43.66640314,-79.32204622
304,EMILY CARR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,90 John Tabor Trl,M1B 2V2,Scarborough,43.805031,-79.20693905
305,ARMOUR HEIGHTS PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,148 Wilson Ave,M5M 3A5,North York,43.74091864,-79.41952554
306,BLOORDALE MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,10 Toledo Rd,M9C 2H3,Etobicoke,43.63915422,-79.57194982
307,SELWYN ELEMENTARY SCHOOL,Elementary,EP,Toronto District School Board,English Public,1 Selwyn Ave,M4B 3J9,Toronto and East York,43.70844824,-79.30632915
308,GRACEDALE PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,186 Gracedale Blvd,M9L 2C1,Etobicoke,43.75319753,-79.56184211
309,GATEWAY PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,55 Gateway Blvd,M3C 1B4,North York,43.71173481,-79.33101237
310,ISLINGTON JUNIOR MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,44 Cordova Ave,M9A 2H5,Etobicoke,43.6474914,-79.52794997
311,BIRCH CLIFF HEIGHTS PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,120 Highview Ave,M1N 2J1,Scarborough,43.70174999,-79.25981983
312,NORSEMAN JUNIOR MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,105 Norseman St,M8Z 2R1,Etobicoke,43.63430526,-79.51632975
313,NORTH BENDALE JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,29 Aveline Cres,M1H 2P4,Scarborough,43.77046232,-79.24763967
314,JOHN FISHER JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,40 Erskine Ave,M4P 1Y2,North York,43.71193685,-79.39747262
315,BRUCE  PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,51 Larchmount Ave,M4M 2Y6,Toronto and East York,43.6610444,-79.33333928
316,FIRGROVE PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,270 Firgrove Cres,M3N 1K8,Etobicoke,43.75200948,-79.51991415
317,ALEXANDER STIRLING PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,70 Fawcett Trl,M1B 3A9,Scarborough,43.81166495,-79.20760913
318,YORKVIEW PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,130 Yorkview Dr,M2R 1K1,North York,43.77258221,-79.43556969
319,H A HALBERT JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,31 McCowan Rd,M1M 3L7,Scarborough,43.7276582,-79.23173925
320,HOLLYWOOD PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,360 Hollywood Ave,M2N 3L4,North York,43.77052711,-79.39183238
321,MEADOWVALE PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,761 Meadowvale Rd,M1C 1T1,Scarborough,43.79551101,-79.16406818
322,HILLMOUNT PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,245 McNicoll Ave,M2H 2C6,North York,43.7994162,-79.35072975
323,WESTON MEMORIAL JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,200 John St,M9N 1K2,Etobicoke,43.70598674,-79.50933321
324,HOLLYCREST MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,630 Renforth Dr,M9C 2N6,Etobicoke,43.6561128,-79.58271115
325,TORONTO URBAN STUDIES CENTER,Elementary,EP,Toronto District School Board,English Public,800 Greenwood Ave,M4J 4B7,former Toronto,43.68284732,-79.33409278
326,OAKRIDGE JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,110 Byng Ave,M1L 3P1,Scarborough,43.69496934,-79.28254604
327,RAWLINSON COMMUNITY SCHOOL,Elementary,EP,Toronto District School Board,English Public,231 Glenholme Ave,M6E 3C7,Etobicoke,43.68398565,-79.44004667
328,ARBOR GLEN PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,55 Freshmeadow Dr,M2H 3H6,North York,43.809495,-79.35571268
329,HUMBER VALLEY VILLAGE JUNIOR MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,65 Hartfield Rd,M9A 3E1,Etobicoke,43.66553687,-79.52734065
330,BIRCH CLIFF PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,1650 Kingston Rd,M1N 1S2,Scarborough,43.69199732,-79.26557182
331,MAPLE LEAF PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,301 Culford Rd,M6L 2V4,Etobicoke,43.71485923,-79.49027849
332,ANSON S TAYLOR JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,20 Placentia Blvd,M1S 4C5,Scarborough,43.80430059,-79.26156454
333,BRIARCREST JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,60 Wellesworth Dr,M9C 4R3,Etobicoke,43.66646577,-79.58007529
334,NORMAN INGRAM PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,50 Duncairn Rd,M3B 1C8,North York,43.73996105,-79.34960938
335,HIGHLAND CREEK PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,1410 Military Trl,M1C 1A8,Scarborough,43.78350952,-79.17844948
336,FOREST MANOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,25 Forest Manor Rd,M2J 1M4,North York,43.77104273,-79.3430668
337,GREENLAND PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,15 Greenland Rd,M3C 1N1,North York,43.73361563,-79.33853616
338,SPECTRUM ALTERNATIVE SENIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,43 Millwood Rd,M4S 1J6,Toronto and East York,43.69928502,-79.39489969
339,HENRY KELSEY SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,1200 Huntingwood Dr,M1S 1K7,Scarborough,43.7983542,-79.27703142
340,LORD DUFFERIN JUNIOR and SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,350 Parliament St,M5A 2Z7,Toronto and East York,43.66082453,-79.36695506
341,TWENTIETH STREET JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,3190 Lake Shore Blvd W,M8V 1L8,Etobicoke,43.59798572,-79.51994152
342,RENE GORDON HEALTH and WELLNESS ACADEMY,Elementary,EP,Toronto District School Board,English Public,20 Karen Rd,M3A 3L6,North York,43.7616437,-79.34038151
343,LILLIAN PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,1059 Lillian St,M2M 3G1,North York,43.79782998,-79.41040176
344,DENLOW PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,50 Denlow Blvd,M3B 1P7,North York,43.74584809,-79.36423096
345,Highland Middle School,Elementary,EP,Toronto District School Board,English Public,201 Cliffwood Rd,M2H 3B5,North York,43.80686899,-79.35545132
346,EASTVIEW PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,20 Waldock St,M1E 2E5,Scarborough,43.75907127,-79.19133848
347,J R WILCOX COMMUNITY SCHOOL,Elementary,EP,Toronto District School Board,English Public,231 Ava Rd,M6C 1X3,Toronto and East York,43.69495538,-79.43630852
348,ROSEDALE JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,22 South Dr,M4W 1R1,Toronto and East York,43.67766432,-79.38168926
349,BANTING AND BEST PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,380 Goldhawk Trl,M1V 4E7,Scarborough,43.8266729,-79.28015374
350,WILLIAM G DAVIS JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,128 East Ave,M1C 3L6,Scarborough,43.78505504,-79.13447753
351,JOSEPH BRANT  PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,270 Manse Rd,M1E 3V4,Scarborough,43.76696933,-79.17573769
352,FAIRMOUNT  PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,31 Sloley Rd,M1M 1C7,Scarborough,43.71976669,-79.23089737
353,MORRISH PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,61 Canmore Blvd,M1C 3T7,Scarborough,43.79319654,-79.17927321
354,CHARLES H BEST MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,285 Wilmington Ave,M3H 5K8,North York,43.76745385,-79.4586335
355,DOWNSVIEW PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,2829 Keele St,M3M 2G7,North York,43.73112244,-79.48243906
356,HENRY HUDSON SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,350 Orton Park Rd,M1G 3H4,Scarborough,43.77774579,-79.21447056
357,FLEMING PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,20 Littles Rd,M1B 5B5,Scarborough,43.81536984,-79.20371735
358,GLENVIEW SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,401 Rosewell Ave,M4R 2B5,North York,43.71998504,-79.40952795
359,BENNINGTON HEIGHTS ELEMENTARY SCHOOL,Elementary,EP,Toronto District School Board,English Public,76 Bennington Heights Dr,M4G 1B1,North York,43.69389105,-79.36955587
360,CALICO PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,35 Calico Dr,M3L 1V5,North York,43.73791477,-79.50359532
361,LESTER B PEARSON ELEMENTARY SCHOOL,Elementary,EP,Toronto District School Board,English Public,7 Snowcrest Ave,M2K 2K5,North York,43.79232805,-79.38746557
362,GUILDWOOD JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,225 Livingston Rd,M1E 1L8,Scarborough,43.75082968,-79.19998986
363,JOHN MCCRAE  PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,431 McCowan Rd,M1J 1J1,Scarborough,43.74405286,-79.23988971
364,THE ELMS JUNIOR MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,45 Golfdown Dr,M9W 2H8,Scarborough,43.7222273,-79.55211379
365,ELKHORN PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,10 Elkhorn Dr,M2K 1J3,North York,43.771224,-79.38006568
366,DALLINGTON PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,18 Dallington Dr,M2J 2G3,North York,43.77713673,-79.35475859
367,GEORGE P MACKIE JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,60 Heathfield Dr,M1M 3B1,Scarborough,43.73933591,-79.21199715
368,THREE VALLEYS PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,76 Three Valleys Dr,M3A 3B7,North York,43.75082148,-79.33762355
369,MACKLIN PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,136 Ingleton Blvd,M1V 2Y4,Scarborough,43.82199191,-79.26769423
370,BRAEBURN JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,15 Tandridge Cres,M9W 2N8,Etobicoke,43.72803842,-79.5488671
371,DAVISVILLE JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,43 Millwood Rd,M4S 1J6,Toronto and East York,43.69928502,-79.39489969
372,PARKSIDE ELEMENTARY SCHOOL,Elementary,EP,Toronto District School Board,English Public,401 Cedarvale Ave,M4C 4K7,Toronto and East York,43.69985449,-79.31648307
373,ALPHA II ALTERNATIVE SCHOOL,Elementary,EP,Toronto District School Board,English Public,1141 Bloor St W,M6H 1M9,former Toronto,43.65956601,-79.43628608
374,CLAUDE WATSON SCHOOL FOR THE ARTS,Elementary,EP,Toronto District School Board,English Public,130 Doris Ave,M2N 0A8,North York,43.7653996,-79.40921782
375,DAYSTROM PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,25 Daystrom Dr,M9M 2A8,Etobicoke,43.74795552,-79.54696659
376,DON VALLEY MIDDLE HIGH SCHOOL,Elementary,EP,Toronto District School Board,English Public,3100 Don Mills Rd,M2J 3C3,North York,43.78954151,-79.3549698
377,Bayview MS / Avondale PS / Avondale Elementary Alt School,Elementary,EP,Toronto District School Board,English Public,25 Bunty Lane,M2K 1W4,North York,43.77650206,-79.38518999
378,WILMINGTON ELEMENTARY SCHOOL,Elementary,EP,Toronto District School Board,English Public,330 Wilmington Ave,M3H 5L1,North York,43.7685104,-79.46071958
379,BRIMWOOD BOULEVARD JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,151 Brimwood Blvd,M1V 1E5,Scarborough,43.8117085,-79.27409287
380,DUBLIN HEIGHTS ELEMENTARY and MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,100 Bainbridge Ave,M3H 2K2,North York,43.74910529,-79.44772817
381,VICTORIA VILLAGE PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,88 Sweeney Dr,M4A 1T7,North York,43.73596802,-79.3141853
382,BLAYDON PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,25 Blaydon Ave,M3M 2C9,North York,43.73536582,-79.48625941
383,HUMBERWOOD DOWNS JUNIOR MIDDLE ACADEMY,Elementary,EP,Toronto District School Board,English Public,850 Humberwood Blvd,M9W 7A6,Etobicoke,43.72888586,-79.61918188
384,ROUGE VALLEY PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,30 Durnford Rd,M1B 4X3,Scarborough,43.79939488,-79.15129056
385,EQUINOX HOLISTIC ALTERNATIVE SCHOOL,Elementary,EP,Toronto District School Board,English Public,151 Hiawatha Rd,M4L 2Y1,former Toronto,43.67388186,-79.3230797
386,PARKFIELD JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,31 Redgrave Dr,M9R 3T9,Etobicoke,43.68210277,-79.56977068
387,HERITAGE PARK PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,80 Old Finch Ave,M1B 5J2,Scarborough,43.82135089,-79.20772016
388,THE WATERFRONT SCHOOL,Elementary,EP,Toronto District School Board,English Public,635 Queens Quay W,M5V 3G3,Toronto and East York,43.63575739,-79.39719083
389,EATONVILLE JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,15 Rossburn Dr,M9C 2P7,Etobicoke,43.63831653,-79.56700571
390,SUMMIT HEIGHTS PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,139 Armour Blvd,M3H 1M1,North York,43.74133037,-79.4300402
391,POPLAR ROAD JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,66 Dearham Wood,M1E 1S4,Scarborough,43.75366906,-79.18748212
392,PIERRE LAPORTE MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,1270 Wilson Ave,M3M 1H5,North York,43.72507453,-79.49212432
393,J G WORKMAN PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,487 Birchmount Rd,M1K 1N7,Scarborough,43.70719986,-79.26713113
394,LESCON PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,34 Lescon Rd,M2J 2G6,North York,43.78084349,-79.35749461
395,STANLEY PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,75 Stanley Rd,M3N 1C2,Etobicoke,43.74183978,-79.51783033
396,HIGHLAND HEIGHTS JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,35 Glendower Crct,M1T 2Z3,Scarborough,43.79442852,-79.30026556
397,BLACKSMITH PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,45 Blacksmith Cres,M3N 1V5,North York,43.77116395,-79.52681069
398,SHAUGHNESSY PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,30 Shaughnessy Blvd,M2J 1H5,North York,43.7703919,-79.35168529
399,PORTAGE TRAIL COMMUNITY  SCHOOL,Elementary,EP,Toronto District School Board,English Public,100 Sidney Belsey Cres,M6M 5H6,Etobicoke,43.69229619,-79.50976689
400,NELSON MANDELA PARK PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,440 Shuter St,M5A 1X6,Toronto and East York,43.65835275,-79.36060291
401,TUMPANE PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,48 Tumpane St,M3M 1L8,North York,43.72660387,-79.50225838
402,WEST HILL PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,299 Morningside Ave,M1E 3G1,Scarborough,43.77268822,-79.18688763
403,PRESTEIGN HEIGHTS ELEMENTARY SCHOOL,Elementary,EP,Toronto District School Board,English Public,2570 St Clair Ave E,M4B 1M3,Toronto and East York,43.70555194,-79.31719719
404,DUNLACE PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,20 Dunlace Dr,M2L 2S1,North York,43.76245943,-79.37035732
405,FAYWOOD ARTS BASED CURRICULUM SCHOOL,Elementary,EP,Toronto District School Board,English Public,95 Faywood Blvd,M3H 2X5,North York,43.73986363,-79.44670059
406,CARLETON VILLAGE JUNIOR and SENIOR Sports and Wellness Academy,Elementary,EP,Toronto District School Board,English Public,315 Osler St,M6N 2Z4,Etobicoke,43.67236139,-79.46003206
407,CHARLOTTETOWN JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,85 Charlottetown Blvd,M1C 2C7,Scarborough,43.78207023,-79.14220896
408,DON MILLS MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,17 The Donway E,M3C 1X6,North York,43.73685277,-79.3404328
409,GULFSTREAM PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,20 Gulfstream Rd,M9M 1S3,Etobicoke,43.73908657,-79.54201309
410,LANOR JUNIOR MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,450 Lanor Ave,M8W 2S1,Etobicoke,43.60967529,-79.54477284
411,WEST ROUGE JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,401 Friendship Ave,M1C 2X8,Scarborough,43.79561842,-79.13371592
412,BROADLANDS PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,106 Broadlands Blvd,M3A 1J7,North York,43.74591128,-79.31663102
413,WEST GLEN JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,47 Cowley Ave,M9B 2E4,Etobicoke,43.65083898,-79.56028512
414,DAVID HORNELL JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,32 Victoria St,M8V 1M6,Etobicoke,43.61934185,-79.48889693
415,MALVERN JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,70 Mammoth Hall Trl,M1B 1P6,Scarborough,43.79783946,-79.23325195
416,PARK LAWN  MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,71 Ballacaine Dr,M8Y 4B6,Etobicoke,43.63771518,-79.49645019
417,GLEN PARK PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,101 Englemount Ave,M6B 4L5,North York,43.71318084,-79.43638524
418,RIPPLETON PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,21 Rippleton Rd,M3B 1H4,North York,43.74091344,-79.3601237
419,ELIZABETH SIMCOE JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,166 Sylvan Ave,M1E 1A3,Scarborough,43.73816057,-79.20603805
420,CENTENNIAL ROAD JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,271 Centennial Rd,M1C 2A2,Scarborough,43.78697089,-79.15002698
421,BROADACRES JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,45 Crendon Dr,M9C 3G6,Etobicoke,43.6480753,-79.57202403
422,COURCELETTE PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,100 Fallingbrook Rd,M1N 2T6,Scarborough,43.67932742,-79.27856913
423,LUCY MAUD MONTGOMERY PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,95 Murison Blvd,M1B 2L6,Scarborough,43.79692541,-79.20936891
424,WINDFIELDS JUNIOR HIGH SCHOOL,Elementary,EP,Toronto District School Board,English Public,375 Banbury Rd,M2L 2V2,North York,43.75623394,-79.37098937
425,IROQUOIS JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,265 Chartland Blvd S,M1S 2S6,Scarborough,43.80268877,-79.26944401
426,FOREST HILL JUNIOR and SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,78 Dunloe Rd,M5P 2T6,Toronto and East York,43.69540386,-79.41412725
427,MILL VALLEY JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,411 Mill Rd,M9C 1Y9,Etobicoke,43.64419796,-79.58697487
428,BEVERLEY HEIGHTS MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,26 Troutbrooke Dr,M3M 1S5,North York,43.73303319,-79.50477501
429,CRESTVIEW PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,101 Seneca Hill Dr,M2J 2W3,North York,43.78843218,-79.3598466
430,PRINCESS MARGARET JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,65 Tromley Dr,M9B 5Y7,Etobicoke,43.67131555,-79.55914569
431,Étienne Brûlé Junior School,Elementary,EP,Toronto District School Board,English Public,50 Cloverhill Rd,M8Y 1T3,Etobicoke,43.63562731,-79.48968772
432,CAMERON PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,211 Cameron Ave,M2N 1E8,North York,43.7543693,-79.42125481
433,JAMES S BELL JUNIOR MIDDLE Sports and Wellness Academy,Elementary,EP,Toronto District School Board,English Public,90 Thirty First St,M8W 3E9,Etobicoke,43.59435422,-79.5301917
434,GLAMORGAN JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,51 Antrim Cres,M1P 4N4,Scarborough,43.77130892,-79.28955704
435,Terraview-Willowfield Public School,Elementary,EP,Toronto District School Board,English Public,95 Pachino Blvd,M1R 4K1,Scarborough,43.76378291,-79.30857274
436,SILVERTHORN COMMUNITY SCHOOL,Elementary,EP,Toronto District School Board,English Public,300 Kane Ave,M6M 3P1,Etobicoke,43.68725801,-79.46941837
437,HODGSON SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,282 Davisville Ave,M4S 1H2,Toronto and East York,43.70110359,-79.38479654
438,JOSEPH HOWE SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,20 Winter Gardens Trl,M1C 3E7,Scarborough,43.78581647,-79.13730137
439,ANCASTER PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,44 Ancaster Rd,M3K 1S6,North York,43.73287476,-79.4669959
440,JOHN ENGLISH JUNIOR MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,95 Mimico Ave,M8V 1R4,Etobicoke,43.61186431,-79.49442127
441,THORNCLIFFE PARK PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,80 Thorncliffe Park Dr,M4H 1K3,North York,43.70539004,-79.34343675
442,SIR ALEXANDER MACKENZIE SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,33 Heather Rd,M1S 2E2,Scarborough,43.78910791,-79.27311953
443,RIVERCREST JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,30 Harefield Dr,M9W 4C9,Etobicoke,43.72971618,-79.56951774
444,FIRST NATIONS JUNIOR and SENIOR SCHOOL OF TORONTO,Elementary,EP,Toronto District School Board,English Public,935 Dundas St E,M4M 1R4,Toronto and East York,43.66207775,-79.34868633
445,MILLWOOD JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,222 Mill Rd,M9C 1Y2,Etobicoke,43.63336228,-79.57711952
446,SEVENTH STREET JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,101 Seventh St,M8V 3B5,Etobicoke,43.59991069,-79.50463054
447,GEORGE R GAULD JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,200 Melrose St,M8Y 1B7,Etobicoke,43.62064567,-79.49852269
448,Fraser Mustard Early Learning Academy,Elementary,EP,Toronto District School Board,English Public,82 Thorncliffe Park Dr,M4H 1K3,North York,43.705151,-79.344172
449,WEDGEWOOD JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,5 Swan Ave,M9B 1V1,Etobicoke,43.64532552,-79.5462562
450,SENECA SCHOOL,Elementary,EP,Toronto District School Board,English Public,580 Rathburn Rd,M9C 3T3,Etobicoke,43.65094252,-79.58254913
451,HILLTOP MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,35 Trehorne Dr,M9P 1N8,Etobicoke,43.68947132,-79.5330703
452,ST ANDREW'S JUNIOR HIGH SCHOOL,Elementary,EP,Toronto District School Board,English Public,131 Fenn Ave,M2P 1X7,North York,43.75159735,-79.39032977
453,SIR ADAM BECK JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,544 Horner Ave,M8W 2C2,Etobicoke,43.60161044,-79.54816511
454,JACK MINER SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,405 Guildwood Pkwy,M1E 1R3,Scarborough,43.74969724,-79.18697152
455,ELMLEA JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,50 Hadrian Dr,M9W 1V4,Etobicoke,43.71563527,-79.55057944
456,BLOORLEA MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,4050 Bloor St W,M9B 1M5,Etobicoke,43.63752946,-79.55530484
457,JOHN G ALTHOUSE MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,130 Lloyd Manor Rd,M9B 5K1,Etobicoke,43.66812499,-79.55416474
458,KNOB HILL  PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,25 Seminole Ave,M1J 1M8,Scarborough,43.74530089,-79.24978823
459,KINGSVIEW VILLAGE JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,1 York Rd,M9R 3C8,Etobicoke,43.69787524,-79.55079242
460,AFRICENTRIC ALTERNATIVE SCHOOL,Elementary,EP,Toronto District School Board,English Public,1430 Sheppard Ave W,M3M 2W9,North York,43.74543295,-79.48826393
461,BENDALE JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,61 Benshire Dr,M1H 1M4,Scarborough,43.76257573,-79.24488345
462,OWEN PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,111 Owen Blvd,M2P 1G6,North York,43.74906478,-79.39251944
463,BLISS CARMAN SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,10 Bellamy Rd S,M1M 3N8,Scarborough,43.73265756,-79.22560507
464,CHIEF DAN GEORGE PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,185 Generation Blvd,M1B 2K5,Scarborough,43.80273093,-79.16383783
465,TERRAVIEW LEARNING CENTRE,Elementary,EP,Toronto District School Board,English Public,1641 Pharmacy Ave,M1R 2L2,Scarborough,43.76738589,-79.31300583
466,ROSETHORN JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,2 Remington Dr,M9A 2J1,Etobicoke,43.65992914,-79.53948426
467,LYNNGATE JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,129 Cass Ave,M1T 2B5,Scarborough,43.77647762,-79.30071954
468,SLOANE PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,110 Sloane Ave,M4A 2B1,North York,43.73122083,-79.31034288
